Hospital,Baranggay
0,890
0,891
0,892
0,893
0,894
0,895
0,896
0,897
0,898
0,900
0,901
0,902
0,904
0,906
0,908
0,909
0,913
0,917
0,919
0,1184
1,1223
1,1227
1,1230
2,1458
2,1469
2,1610
3,77
3,1551
3,1553
3,1580
4,1189
4,1490
4,1495
4,1496
4,1497
4,1511
4,1518
4,1519
4,1520
4,1540
4,1544
4,1545
4,1549
4,1573
4,1588
4,1603
4,1617
5,188
5,189
5,1199
5,1202
5,1203
6,391
6,407
6,408
6,552
6,553
6,556
6,569
6,570
6,571
6,572
6,573
6,574
6,575
6,577
6,578
6,579
6,582
6,583
6,584
6,585
6,586
6,588
6,589
6,590
6,702
6,711
6,712
6,713
6,714
6,715
6,716
6,717
6,718
6,721
6,722
6,732
6,733
6,737
6,738
6,740
6,1184
6,1536
6,1538
6,1554
6,1557
6,1579
6,1585
6,1592
7,76
7,77
7,79
7,1527
7,1551
7,1553
7,1580
8,1502
8,1550
8,1556
8,1568
8,1608
8,1613
9,1569
9,1615
10,1450
10,1456
10,1464
11,1440
11,1441
11,1442
11,1444
11,1447
11,1449
11,1457
11,1459
11,1460
11,1462
11,1463
11,1465
11,1467
11,1468
12,518
12,520
12,525
12,539
12,540
12,541
12,544
12,545
12,546
12,547
12,548
12,549
12,550
12,555
12,556
12,557
12,574
12,663
12,665
12,666
12,667
12,668
12,669
12,670
12,671
12,672
12,676
12,677
12,681
12,682
12,685
12,687
12,688
12,689
12,690
12,691
12,692
12,693
12,694
12,695
12,696
12,698
12,699
12,700
12,701
12,702
12,703
12,704
12,705
12,706
12,707
12,709
12,710
12,711
12,713
12,714
12,715
12,716
12,717
12,718
12,721
12,722
12,723
12,724
12,725
12,726
12,727
12,728
12,729
12,730
12,732
12,733
12,734
12,735
12,736
12,737
12,738
12,739
12,740
12,741
12,743
12,744
12,745
12,746
12,1184
12,1579
12,1585
12,1592
13,1236
14,1223
14,1230
14,1232
15,261
15,265
15,266
15,273
15,276
15,277
15,282
15,283
15,287
16,262
16,268
16,269
16,270
16,272
16,281
16,829
16,833
16,834
16,835
16,836
16,837
16,838
16,839
16,840
16,842
16,846
16,849
16,851
16,852
16,1160
16,1622
16,1625
16,1628
16,1630
17,3
17,4
17,5
17,6
17,7
17,8
17,9
17,10
17,11
17,13
17,14
17,15
17,16
17,17
17,18
17,19
17,20
17,21
17,22
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,131
17,135
17,138
17,139
17,141
17,142
17,145
17,146
17,147
17,151
17,152
17,153
17,157
17,175
17,176
17,178
17,179
17,181
18,21
18,24
18,115
18,116
18,118
18,119
18,120
18,121
18,123
18,124
18,125
18,370
18,371
18,377
18,378
18,379
18,380
18,381
18,382
18,383
18,385
18,386
18,387
18,388
18,389
18,390
18,391
18,392
18,393
18,394
18,397
18,398
18,399
18,400
18,401
18,402
18,403
18,404
18,405
18,406
18,408
18,409
18,410
18,580
18,581
18,582
18,583
18,584
18,585
18,586
18,588
18,590
19,1663
19,1665
19,1666
19,1668
19,1672
19,1673
19,1682
20,230
20,1658
21,73
21,75
21,1660
21,1664
21,1670
21,1685
22,1481
22,1490
22,1498
22,1503
22,1515
22,1516
22,1518
22,1520
22,1521
22,1537
22,1540
22,1544
22,1549
22,1570
22,1571
22,1572
22,1573
22,1588
22,1599
22,1600
22,1601
22,1603
23,891
23,897
23,900
23,901
23,902
23,906
23,907
23,908
23,909
23,910
23,911
23,913
23,914
23,915
23,916
23,917
23,918
23,919
23,920
23,922
23,930
23,931
23,939
23,940
23,941
23,942
23,943
23,944
23,1184
24,230
24,1643
24,1645
24,1654
24,1656
25,1480
25,1487
25,1491
25,1574
25,1593
25,1616
26,217
26,227
26,229
26,236
27,85
27,96
28,1480
28,1482
28,1484
28,1491
28,1530
28,1574
28,1583
28,1616
29,1527
29,1563
29,1590
29,1591
30,1445
30,1450
30,1466
31,1444
31,1451
31,1456
31,1461
32,1480
32,1487
32,1491
32,1530
32,1574
32,1593
32,1616
33,190
33,194
33,198
33,201
33,206
33,1223
34,944
34,947
34,948
34,949
34,951
34,952
34,953
34,954
34,955
34,956
34,958
34,959
34,960
34,961
34,962
34,963
34,964
34,965
34,966
34,967
34,969
34,970
34,973
34,974
34,1184
34,1238
34,1283
34,1294
34,1305
34,1316
34,1327
34,1349
34,1362
34,1366
34,1373
34,1384
34,1395
34,1406
34,1439
35,1441
35,1442
35,1446
35,1447
35,1449
35,1453
35,1454
35,1457
35,1460
35,1461
35,1462
35,1463
35,1467
36,116
36,117
36,313
36,314
36,316
36,317
36,320
36,321
36,323
36,324
36,325
36,326
36,327
36,328
36,330
36,331
36,332
36,333
36,334
36,335
36,336
36,365
36,369
36,370
36,374
36,376
36,1212
36,1217
37,1450
37,1451
37,1456
37,1464
37,1469
37,1610
38,1187
38,1188
38,1192
38,1194
39,1488
39,1494
39,1505
39,1524
40,815
40,825
40,826
40,827
40,828
40,829
40,1509
40,1512
40,1594
40,1621
40,1622
40,1623
40,1624
40,1633
40,1634
40,1635
40,1636
40,1637
40,1639
41,353
41,354
41,356
41,357
41,366
41,367
41,379
41,391
41,392
41,393
41,398
41,400
41,401
41,402
41,403
41,404
41,405
41,406
41,407
41,408
41,409
41,410
41,411
41,412
41,413
41,414
41,415
41,417
41,418
41,421
41,422
41,423
41,425
41,429
41,455
41,549
41,551
41,552
41,553
41,555
41,556
41,558
41,559
41,560
41,561
41,562
41,563
41,564
41,566
41,567
41,568
41,569
41,570
41,571
41,572
41,573
41,574
41,575
41,577
41,578
41,579
41,580
41,581
41,582
41,583
41,584
41,585
41,586
41,588
41,589
41,590
41,711
41,712
41,716
41,1184
42,76
42,80
42,84
43,829
43,834
43,1509
43,1614
43,1621
43,1622
43,1623
43,1624
43,1626
43,1627
43,1629
43,1631
43,1632
43,1633
43,1635
43,1636
43,1637
43,1639
44,230
44,1228
44,1233
44,1658
45,1199
45,1200
46,255
46,1667
46,1669
46,1676
47,508
47,511
47,512
47,520
47,595
47,596
47,597
47,599
47,600
47,601
47,602
47,603
47,604
47,605
47,606
47,607
47,608
47,610
47,611
47,612
47,613
47,614
47,615
47,616
47,617
47,618
47,619
47,621
47,622
47,623
47,624
47,625
47,626
47,627
47,630
47,632
47,641
47,643
47,644
47,645
47,646
47,647
47,648
47,649
47,652
47,655
47,656
47,661
47,662
47,663
47,666
47,668
47,669
47,670
47,671
47,672
47,673
47,674
47,676
47,677
47,678
47,679
47,680
47,681
47,682
47,683
47,684
47,685
47,696
47,874
47,875
47,877
47,878
47,879
47,880
47,1184
48,1199
48,1200
48,1202
49,211
49,219
49,275
49,278
49,279
49,280
49,281
49,284
49,1138
49,1139
49,1140
49,1143
49,1147
49,1148
49,1149
49,1150
49,1151
49,1152
49,1153
49,1154
49,1157
49,1158
49,1159
49,1161
49,1164
50,423
50,424
50,447
50,449
50,450
50,451
50,454
50,456
50,457
50,461
50,464
50,465
50,467
50,512
50,513
50,516
50,517
50,518
50,519
50,520
50,522
50,523
50,524
50,525
50,526
50,527
50,528
50,529
50,530
50,531
50,533
50,534
50,535
50,536
50,537
50,538
50,539
50,540
50,541
50,542
50,544
50,545
50,546
50,547
50,548
50,549
50,550
50,551
50,552
50,553
50,555
50,556
50,557
50,558
50,559
50,562
50,563
50,570
50,571
50,574
50,575
50,679
50,680
50,681
50,682
50,683
50,687
50,688
50,691
50,693
50,694
50,695
50,696
50,698
50,699
50,700
50,701
50,702
50,703
50,704
50,705
50,706
50,707
50,709
50,710
50,716
50,718
50,721
50,729
50,730
50,733
50,1184
51,287
51,1625
51,1640
52,255
52,1667
52,1676
53,91
53,95
53,96
53,98
54,1485
54,1523
54,1551
54,1582
55,223
55,232
55,967
55,1184
55,1239
55,1250
55,1261
55,1272
55,1283
55,1294
55,1327
55,1338
55,1350
55,1353
55,1354
55,1355
55,1356
55,1357
55,1358
55,1359
55,1360
55,1361
55,1363
55,1364
55,1365
55,1366
55,1367
55,1368
55,1369
55,1370
55,1371
55,1372
55,1374
55,1375
55,1376
55,1377
55,1378
55,1379
55,1380
55,1381
55,1382
55,1383
55,1385
55,1386
55,1387
55,1388
55,1389
55,1390
55,1391
55,1392
55,1393
55,1394
55,1395
55,1396
55,1397
55,1398
55,1399
55,1400
55,1401
55,1406
55,1417
55,1428
55,1430
55,1431
55,1432
55,1433
55,1434
55,1439
56,76
56,79
56,81
56,82
56,86
56,1527
57,1331
57,1352
58,189
58,200
58,203
58,204
58,205
59,1526
59,1529
59,1532
59,1534
59,1542
59,1555
59,1567
59,1575
59,1576
59,1602
59,1618
60,1444
60,1451
60,1456
60,1461
61,1207
62,1502
62,1550
62,1556
62,1568
62,1615
63,212
63,265
63,267
63,273
63,276
63,277
63,287
63,1448
63,1455
63,1458
64,423
64,424
64,447
64,449
64,450
64,451
64,452
64,453
64,454
64,455
64,456
64,457
64,461
64,464
64,465
64,467
64,512
64,513
64,516
64,517
64,518
64,519
64,520
64,522
64,523
64,524
64,525
64,526
64,527
64,528
64,529
64,530
64,531
64,533
64,534
64,535
64,536
64,537
64,538
64,539
64,540
64,541
64,542
64,544
64,545
64,546
64,547
64,548
64,549
64,550
64,551
64,553
64,555
64,556
64,557
64,558
64,559
64,560
64,562
64,563
64,567
64,568
64,679
64,681
64,682
64,683
64,687
64,688
64,698
64,699
64,700
64,704
64,706
64,707
64,709
64,710
64,1184
65,908
65,909
65,910
65,911
65,913
65,916
65,918
65,919
65,939
65,941
65,942
65,943
66,1445
66,1450
67,1195
67,1196
67,1197
68,96
68,98
69,615
69,616
69,617
69,618
69,619
69,621
69,622
69,623
69,624
69,625
69,626
69,628
69,629
69,630
69,632
69,633
69,634
69,635
69,636
69,637
69,639
69,641
69,643
69,644
69,645
69,646
69,647
69,648
69,649
69,650
69,651
69,652
69,654
69,655
69,656
69,657
69,658
69,659
69,660
69,661
69,662
69,663
69,665
69,666
69,667
69,668
69,669
69,670
69,671
69,672
69,673
69,676
69,677
69,690
69,692
69,693
69,695
69,696
69,724
69,744
69,745
69,746
69,747
69,748
69,750
69,752
69,756
69,757
69,758
69,759
69,760
69,761
69,762
69,763
69,765
69,767
69,768
69,769
69,770
69,771
69,772
69,773
69,774
69,776
69,777
69,778
69,779
69,780
69,789
69,790
69,791
69,794
69,798
69,799
69,800
69,801
69,802
69,803
69,804
69,805
69,861
69,863
69,867
69,868
69,869
69,870
69,871
70,217
70,227
70,229
70,236
71,1522
71,1563
71,1590
71,1597
72,1643
72,1644
72,1645
72,1652
72,1654
72,1656
72,1657
73,1204
73,1205
73,1207
74,213
74,215
74,224
74,229
74,230
74,1470
74,1472
74,1473
74,1474
74,1475
74,1476
74,1477
74,1479
75,198
75,203
75,204
75,206
75,207
76,436
76,437
76,439
76,440
76,441
76,442
76,444
76,446
76,449
76,450
76,451
76,452
76,453
76,454
76,456
76,457
76,458
76,460
76,461
76,462
76,463
76,464
76,465
76,466
76,467
76,492
76,493
76,497
76,500
76,501
76,502
76,504
76,505
76,508
76,509
76,511
76,512
76,513
76,514
76,515
76,516
76,517
76,518
76,519
76,520
76,522
76,523
76,524
76,525
76,526
76,527
76,528
76,529
76,530
76,531
76,533
76,534
76,535
76,536
76,537
76,538
76,539
76,540
76,541
76,542
76,544
76,545
76,546
76,548
76,550
76,558
76,559
76,604
76,678
76,679
76,680
76,681
76,682
76,683
76,684
76,685
76,687
76,688
76,1184
77,1667
77,1669
77,1677
78,1534
78,1555
78,1559
78,1575
78,1602
78,1619
79,1187
79,1188
79,1192
79,1194
80,1486
80,1500
80,1517
80,1531
80,1587
80,1588
80,1601
81,76
81,77
81,79
81,80
82,190
82,198
82,203
82,204
82,206
82,207
83,1187
83,1188
83,1192
84,1186
84,1195
84,1445
84,1466
85,1506
85,1524
85,1548
85,1550
86,1450
86,1456
86,1464
87,1501
87,1523
87,1551
87,1553
87,1580
87,1582
88,72
88,1485
88,1582
88,1597
88,1605
88,1606
88,1688
89,213
89,215
89,224
89,230
89,1470
89,1471
89,1472
89,1473
89,1474
89,1475
89,1476
89,1478
89,1479
89,1656
90,197
90,198
90,203
90,206
90,207
91,1666
91,1669
91,1674
91,1677
92,1199
93,220
93,223
93,226
93,231
93,232
93,977
93,980
93,997
93,999
93,1000
93,1004
93,1007
93,1008
93,1009
93,1010
93,1011
93,1013
93,1014
93,1015
93,1016
93,1017
93,1022
93,1065
93,1375
93,1376
93,1377
93,1379
93,1380
93,1382
94,734
94,735
94,739
94,745
94,746
94,747
94,748
94,749
94,750
94,751
94,752
94,754
94,755
94,756
94,757
94,758
94,759
94,760
94,761
94,762
94,763
94,765
94,766
94,767
94,768
94,770
94,772
94,773
94,774
94,778
94,779
94,780
94,781
94,782
94,783
94,784
94,785
94,788
94,789
94,790
94,791
94,792
94,794
94,1483
94,1512
94,1513
94,1514
94,1536
94,1547
94,1584
94,1592
94,1594
94,1595
94,1607
95,1487
95,1491
95,1569
95,1593
95,1606
96,605
96,606
96,607
96,608
96,610
96,611
96,612
96,613
96,614
96,615
96,616
96,617
96,618
96,619
96,621
96,622
96,623
96,624
96,625
96,626
96,627
96,628
96,629
96,630
96,632
96,633
96,634
96,635
96,636
96,641
96,643
96,644
96,645
96,646
96,647
96,648
96,649
96,650
96,651
96,652
96,654
96,655
96,656
96,657
96,658
96,659
96,660
96,661
96,662
96,663
96,665
96,666
96,667
96,668
96,669
96,670
96,671
96,672
96,673
96,674
96,676
96,677
96,689
96,690
96,691
96,692
96,693
96,694
96,695
96,696
96,698
96,699
96,705
96,706
96,707
96,723
96,724
96,726
96,744
96,745
96,746
96,747
96,748
96,749
96,750
96,751
96,752
96,755
96,756
96,757
96,758
96,759
96,763
96,767
96,768
96,769
96,770
96,772
96,773
96,776
96,777
96,778
96,779
96,780
96,870
96,873
96,877
96,1184
97,194
97,198
97,201
97,202
97,208
98,1199
98,1200
98,1203
98,1205
99,209
99,210
99,226
99,231
99,232
99,233
100,211
100,219
100,275
100,278
100,280
100,281
100,284
100,1138
100,1140
100,1143
100,1147
100,1148
100,1149
100,1150
100,1151
100,1152
100,1153
100,1154
100,1157
100,1159
101,1483
101,1509
101,1512
101,1513
101,1514
101,1528
101,1584
101,1594
101,1595
101,1607
102,1189
102,1490
102,1496
102,1497
102,1518
102,1519
102,1520
102,1521
102,1544
102,1549
103,1502
103,1533
103,1539
103,1550
103,1556
103,1568
103,1599
103,1608
103,1609
103,1613
104,195
104,1231
105,1502
105,1550
105,1556
105,1568
105,1608
105,1613
106,1188
106,1191
106,1195
106,1196
106,1197
107,1648
107,1655
108,1509
108,1512
108,1528
108,1532
108,1542
108,1594
108,1607
109,1502
109,1550
109,1556
109,1568
109,1613
109,1615
110,288
110,289
110,300
110,308
110,318
110,329
110,340
110,351
110,362
110,373
110,384
110,395
110,396
110,448
110,459
110,468
110,469
110,470
110,471
110,472
110,473
110,474
110,475
110,476
110,477
110,478
110,479
110,480
110,481
110,482
110,483
110,484
110,485
110,487
110,491
110,498
110,499
110,510
110,521
110,532
110,543
110,554
110,565
110,576
110,587
110,609
110,620
110,631
110,642
110,664
110,675
110,686
110,697
110,708
110,719
110,831
110,886
110,891
110,894
110,934
110,945
110,968
110,979
110,1056
110,1167
110,1184
111,891
111,897
111,900
111,901
111,902
111,904
111,905
111,906
111,907
111,908
111,909
111,910
111,911
111,913
111,914
111,915
111,916
111,917
111,918
111,919
111,920
111,921
111,922
111,924
111,925
111,928
111,930
111,931
